@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE C34	REAL
@ATTRIBUTE C35	REAL
@ATTRIBUTE C36	REAL
@ATTRIBUTE C37	REAL
@ATTRIBUTE C38	REAL
@ATTRIBUTE C39	REAL
@ATTRIBUTE C40	REAL
@ATTRIBUTE C41	REAL
@ATTRIBUTE C42	REAL
@ATTRIBUTE C43	REAL
@ATTRIBUTE C44	REAL
@ATTRIBUTE C45	REAL
@ATTRIBUTE C46	REAL
@ATTRIBUTE C47	REAL
@ATTRIBUTE C48	REAL
@ATTRIBUTE C49	REAL
@ATTRIBUTE C50	REAL
@ATTRIBUTE C51	REAL
@ATTRIBUTE C52	REAL
@ATTRIBUTE C53	REAL
@ATTRIBUTE C54	REAL
@ATTRIBUTE C55	REAL
@ATTRIBUTE C56	REAL
@ATTRIBUTE C57	REAL
@ATTRIBUTE C58	REAL
@ATTRIBUTE C59	REAL
@ATTRIBUTE C60	REAL
@ATTRIBUTE C61	REAL
@ATTRIBUTE C62	REAL
@ATTRIBUTE C63	REAL
@ATTRIBUTE C64	REAL
@ATTRIBUTE C65	REAL
@ATTRIBUTE C66	REAL
@ATTRIBUTE C67	REAL
@ATTRIBUTE C68	REAL
@ATTRIBUTE C69	REAL
@ATTRIBUTE C70	REAL
@ATTRIBUTE C71	REAL
@ATTRIBUTE C72	REAL
@ATTRIBUTE C73	REAL
@ATTRIBUTE C74	REAL
@ATTRIBUTE C75	REAL
@ATTRIBUTE C76	REAL
@ATTRIBUTE C77	REAL
@ATTRIBUTE C78	REAL
@ATTRIBUTE C79	REAL
@ATTRIBUTE C80	REAL
@ATTRIBUTE C81	REAL
@ATTRIBUTE C82	REAL
@ATTRIBUTE C83	REAL
@ATTRIBUTE C84	REAL
@ATTRIBUTE C85	REAL
@ATTRIBUTE C86	REAL
@ATTRIBUTE C87	REAL
@ATTRIBUTE C88	REAL
@ATTRIBUTE C89	REAL
@ATTRIBUTE C90	REAL
@ATTRIBUTE C91	REAL
@ATTRIBUTE C92	REAL
@ATTRIBUTE C93	REAL
@ATTRIBUTE C94	REAL
@ATTRIBUTE C95	REAL
@ATTRIBUTE C96	REAL
@ATTRIBUTE C97	REAL
@ATTRIBUTE C98	REAL
@ATTRIBUTE C99	REAL
@ATTRIBUTE C100	REAL
@ATTRIBUTE C101	REAL
@ATTRIBUTE C102	REAL
@ATTRIBUTE C103	REAL
@ATTRIBUTE C104	REAL
@ATTRIBUTE C105	REAL
@ATTRIBUTE C106	REAL
@ATTRIBUTE C107	REAL
@ATTRIBUTE C108	REAL
@ATTRIBUTE C109	REAL
@ATTRIBUTE classe {corn,grain,acq,wheat,ship,money-fx,interest,earn,crude,trade}


@DATA
0, 0, 0, 0, 0.705, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 0, 0, 0, 0, 0, 0.0187, 0, 0, 0, 0, 0, 0, 0, 0, 0.0555, 0, 0, 0, 0.202, 0, 0, 0, 0, 0, 0, 0.0738, 0, 0.1014, 0, 0, 0, 0, 0.006, 0.0313, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0, 1.26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7933, 0, 0, 0.346, 0.5927, 0, 0, 0, 0, 0.2116, 0, 0,acq
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0003, 0, 0, 0, 0, 0, 0, 0.12, 0, 0, 0.0546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0738, 0, 0.0632, 0, 0, 0, 0, 0.0735, 0, 0, 0, 0, 0, 0, 0, 1.87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02, 0, 0, 0, 0, 0, 0, 2.6312, 0, 0,acq
0.0457, 0, 0.0706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0052, 0, 0, 0, 0, 0, 0, 0.1014, 0, 0.0506, 0.0954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.44, 0, 0.0983, 0, 0.1887, 0, 0, 0, 0, 0, 0, 0, 23.41, 0, 0, 0, 0.63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0347, 0, 0, 0, 0.1783, 0, 0, 0, 0, 0, 0, 0.2229, 0, 0, 0, 0, 0, 0.7933, 0, 0, 0, 0.1091, 0, 0.05, 1.212, 0, 0, 0, 1.72,acq
0.0546, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0155, 0, 0, 0, 0, 0, 0, 0.22, 0, 0, 0.2192, 0, 0, 0, 0.1461, 0, 0, 0, 0, 0, 0, 0, 0.1605, 0, 0, 0, 0, 0.0917, 0, 0, 0, 0, 0, 0, 0.1077, 0.94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.454, 0.035, 0, 0.0793, 0, 0.335, 0, 0, 1.686, 0, 0, 0, 0.2229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0939, 0, 0.1, 0, 0, 0, 0, 0,acq
0.1121, 0, 0.3063, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0745, 0, 0, 0, 0.0993, 0, 0, 0, 0, 0, 0, 0.0114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0333, 0, 0, 0, 0, 0, 0, 0, 0.401, 0, 0, 0, 0.1041, 0, 0, 0, 0, 0.1121, 0, 0, 6.75, 0, 0, 0, 0, 2.81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4138, 0, 0, 0, 0, 0, 0, 0.0757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02, 0.0973, 0, 0, 0, 0, 0, 0, 0, 0,acq
0.0457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7964, 0.1463, 0, 0, 0.3243, 0, 0, 0.0179, 0, 0, 0, 0, 0, 0, 0.1014, 0, 0.0442, 0.1492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1227, 0, 0, 0, 0, 0.094, 0, 0, 0.9075, 0.209, 0, 0.2825, 0.102, 12.17, 0, 0, 0, 0.63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.09, 0, 0, 0, 0.0417, 0, 0.2271, 0, 0.5658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0367, 0, 0.7333, 0.3967, 0, 1.02, 0, 0, 1.03, 0.322, 0, 0, 0, 0, 0,acq
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0712, 0, 0.0028, 0, 0, 0, 0, 0, 0, 0.3036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1577, 0, 0.09, 0, 0, 0, 0, 0.0212, 0, 0, 0, 0, 0.0514, 0, 0, 5.62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,acq
0.0457, 0, 0.085, 0, 0, 0, 0, 0, 0, 0, 0, 0.0821, 0, 0.0793, 0, 0, 0, 0, 0, 0, 0.275, 0.1993, 0, 0, 0, 0, 0, 0, 0.0057, 0.735, 0, 0, 0, 0, 0, 0.1364, 0, 0, 0.09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3677, 0, 0.0395, 0, 0, 0, 0, 0.0983, 0, 0, 2.27, 0, 0, 0.4225, 0, 9.36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.195, 0, 0, 0, 0, 0, 0, 0, 0, 0.6057, 0, 0.0783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.48, 0, 0, 0,acq
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6683, 0, 0.6917, 0.1314, 0, 0, 0, 0, 0.0494, 0, 0.0101, 0, 0, 0, 0, 0, 0, 0.1014, 0, 0, 0, 0, 0.125, 0.316, 0, 0, 0, 0, 0, 0, 0, 0, 0.2086, 0, 0, 0, 0, 0.0956, 0, 1.42, 0, 0, 0, 0, 0, 5.62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03, 0.262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5767, 0.2086, 0, 0, 0, 0, 0, 0.388, 0, 0, 0, 0,acq
0.1332, 0, 0.0706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1464, 0, 0, 0, 0, 0, 0, 0, 0, 0.0494, 0, 0.0095, 0, 0, 0, 0, 0, 0, 0.1014, 0, 0, 0.0775, 0, 0, 0.316, 0, 0, 0, 0, 0, 0, 0.0985, 0, 0.0718, 0, 0, 0, 0, 0.1235, 0, 0, 0, 0, 0.0514, 0.14, 0.1207, 9.36, 0, 0, 0, 0.63, 0, 0, 0, 0, 0, 1.9, 0, 1.108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7358, 0, 0, 0, 0, 0, 0, 0.1686, 0.63, 0, 0.0947, 0, 0, 1.94, 0.1043, 0, 0, 0.04, 0, 0.0335, 0.194, 0, 0, 0, 0,acq
0.0457, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0993, 0, 0, 0, 0.1929, 0.0513, 0, 0.0064, 1.465, 0, 0, 0, 0, 0, 0.0507, 0, 0, 0.1508, 0, 0.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0805, 0, 0, 0.0486, 0, 0.0478, 0, 0, 0.9075, 0, 0, 0, 0, 10.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.95, 0, 0, 0, 0, 0, 0, 0, 0.0433, 0, 0.5314, 0, 0, 0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0.0486, 0, 0, 0.75, 0.2086, 0, 0, 0, 0, 0, 0, 0, 0, 0.0572, 0,acq
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0657, 0, 0, 0, 0, 0.1025, 0, 0.0054, 0, 0, 0, 0, 0, 0, 0.1521, 0, 0.0442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0253, 0, 0, 0, 0, 0, 0, 0, 1.87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0793, 0, 0.1042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,acq
0.0457, 0, 0.2106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2017, 0, 0, 0, 0, 0.6486, 0.1275, 0, 0.0112, 0, 0, 0, 0, 0, 0, 0, 0, 0.2381, 0.0367, 0, 0, 0.316, 0.3761, 0, 0, 0, 0, 0, 0, 0, 0.14, 0, 0, 0, 0, 0.1298, 0.0313, 0, 0, 0, 0, 0, 0.0397, 24.34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0793, 0, 0, 0, 0, 0, 0, 0.3333, 0, 0, 0, 0, 0.0269, 0, 0, 0.3967, 0, 0, 0.146, 0, 0, 0.0815, 0, 0, 0, 0, 0,acq
0.0343, 0, 0.085, 0, 0, 0, 0.5567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0096, 0, 0, 0, 0, 0, 0.3, 0.0507, 0, 0, 0.0425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0738, 0, 0.2809, 0, 0, 0, 0, 0.0691, 0, 0, 0, 0, 0, 0, 0.0373, 0.94, 0, 0, 0, 0, 0, 0.0959, 0, 1.1771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13, 0, 0, 0, 0, 0.4667, 0, 0, 0, 0, 0.0569, 0, 0, 0, 0, 0, 0, 0, 0, 0.1155, 0, 0, 0.0504, 0, 0,acq
0.0457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1993, 0, 0, 0.2022, 0, 0.0856, 0, 0.0019, 0, 0, 0, 0, 0, 0, 0, 0, 0.0442, 0.2475, 0, 0, 2.512, 0.0944, 0, 0, 0, 0.201, 0, 0, 0, 0.1255, 0, 0, 0.0436, 0, 0.0929, 0, 0, 3.4575, 0, 0, 0.2825, 0.0523, 2.81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3786, 0, 0.0783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5767, 0, 0, 0, 0.1045, 0, 0.05, 0, 0, 0, 0, 0,acq
0.0343, 0, 0, 0, 0, 0, 0, 0.305, 0, 0, 0, 0, 0, 0.0626, 0, 0, 0, 0.0736, 0, 0, 0, 0, 0, 0, 0.1744, 0, 0, 0, 0.0047, 0, 0, 0, 0, 0, 0, 0.1021, 0, 0, 0.0475, 0, 0, 0, 0, 0, 1.49, 0, 0, 0, 0, 0, 0.0868, 0, 0, 0, 0, 0.0334, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0, 0, 0, 0, 0, 0, 0, 8.9167, 0, 0.865, 0, 0, 0.537, 0, 0, 0, 0, 0, 0, 0, 0.6683, 0, 0, 0, 0, 0, 0, 0, 3.785, 0, 0.1311, 0, 0, 0, 0, 0, 0, 0, 0, 0.0335, 0, 0, 0, 0, 0,acq
